sourceFolder,physicalSize,fileCount,complete,missingRoles,duplicateRoles,originalPixels,matchConfidence,readyForUpload,suggestedArtworkId,suggestedSlug,suggestedTitle,matchReasons,candidateSlugs,reviewStatus,confirmedArtworkId,confirmedSlug,reviewNotes
40-40-11,40x40cm,6,true,,,1282x1278,high,true,OfsmPgN5lUDWsUtL2tZr4C,lavender-meadow,Lavender Meadow,Sanity main image pixels;listed artwork size,lavender-meadow:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
40-40-13,40x40cm,6,true,,,1278x1330,high,true,OfsmPgN5lUDWsUtL2tZrCq,pale-leaves,Pale Leaves,Sanity main image pixels;listed artwork size,pale-leaves:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
50-150-1,50x150cm,6,true,,,3255x871,high,true,OfsmPgN5lUDWsUtL2tZqeG,river-stripe-study,River Stripe Study,Sanity main image pixels;listed artwork size,river-stripe-study:160;green-river-horizon:60;quiet-green-panel:60,,,,
50-150-2,50x150cm,6,true,,,3322x833,high,true,OfsmPgN5lUDWsUtL2tZoHI,quiet-green-panel,Quiet Green Panel,Sanity main image pixels;listed artwork size,quiet-green-panel:160;green-river-horizon:60;river-stripe-study:60,,,,
50-150-3,50x150cm,6,true,,,3287x858,high,true,OfsmPgN5lUDWsUtL2tZfHg,green-river-horizon,Green River Horizon,Sanity main image pixels;listed artwork size,green-river-horizon:160;quiet-green-panel:60;river-stripe-study:60,,,,
70-80-1,70x80cm,6,true,,,3281x2892,high,true,OfsmPgN5lUDWsUtL2tZp7A,rose-hat-figure,Rose Hat Figure,Sanity main image pixels;listed artwork size,rose-hat-figure:160;bright-fuchsia-dress:60;fuchsia-silhouette:60;hill-garden-afternoon:60;rose-profile:60,,,,
70-80-2,70x80cm,6,true,,,2466x2208,high,true,OfsmPgN5lUDWsUtL2tZpK8,hill-garden-afternoon,Hill Garden Afternoon,Sanity main image pixels;listed artwork size,hill-garden-afternoon:160;bright-fuchsia-dress:60;fuchsia-silhouette:60;rose-hat-figure:60;rose-profile:60,,,,
70-80-3,70x80cm,6,true,,,3366x2982,high,true,OfsmPgN5lUDWsUtL2tZpOS,rose-profile,Rose Profile,Sanity main image pixels;listed artwork size,rose-profile:160;bright-fuchsia-dress:60;fuchsia-silhouette:60;hill-garden-afternoon:60;rose-hat-figure:60,,,,
70-80-8,70x80cm,6,true,,,3275x2970,high,true,OfsmPgN5lUDWsUtL2tZocu,rose-wing-profile,Rose Wing Profile,Sanity main image pixels;listed artwork size,rose-wing-profile:160;bright-fuchsia-dress:60;fuchsia-silhouette:60;hill-garden-afternoon:60;rose-hat-figure:60,,,,
70-80-9,70x80cm,6,true,,,3292x2904,high,true,OfsmPgN5lUDWsUtL2tZops,bright-fuchsia-dress,Bright Fuchsia Dress,Sanity main image pixels;listed artwork size,bright-fuchsia-dress:160;fuchsia-silhouette:60;hill-garden-afternoon:60;rose-hat-figure:60;rose-profile:60,,,,
80-80,80x80cm,6,true,,,1276x1286,high,true,OfsmPgN5lUDWsUtL2tZoPw,rose-garden-signals,Rose Garden Signals,Sanity main image pixels;listed artwork size,rose-garden-signals:160;afternoon:60;afternoon2:60;electric-pink-meadow:60;garden-house:60,,,,
80-80-1,80x80cm,6,true,,,1290x1278,high,true,OfsmPgN5lUDWsUtL2tZrLU,violet-garden-mist,Violet Garden Mist,Sanity main image pixels;listed artwork size,violet-garden-mist:160;afternoon:60;afternoon2:60;electric-pink-meadow:60;garden-house:60,,,,
80-80-2,80x80cm,6,true,,,1294x1278,high,true,OfsmPgN5lUDWsUtL2tZrPo,electric-pink-meadow,Electric Pink Meadow,Sanity main image pixels;listed artwork size,electric-pink-meadow:160;afternoon:60;afternoon2:60;garden-house:60;green-canopy-afternoon:60,,,,
80-80-3,80x80cm,6,true,,,1304x1276,high,true,OfsmPgN5lUDWsUtL2tZqrE,pastel-signal-field,Pastel Signal Field,Sanity main image pixels;listed artwork size,pastel-signal-field:160;afternoon:60;afternoon2:60;electric-pink-meadow:60;garden-house:60,,,,
80-120-1,80x120cm,6,true,,,1865x2785,high,true,OfsmPgN5lUDWsUtL2tZoCy,garden-keeper,Garden Keeper,Sanity main image pixels;listed artwork size,garden-keeper:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-2,80x120cm,6,true,,,1889x2922,high,true,OfsmPgN5lUDWsUtL2tZoYa,pink-dress-study,Pink Dress Study,Sanity main image pixels;listed artwork size,pink-dress-study:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-3,80x120cm,6,true,,,1642x2761,high,true,OfsmPgN5lUDWsUtL2tZpBU,garden-crown,Garden Crown,Sanity main image pixels;listed artwork size,garden-crown:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-4,80x120cm,6,true,,,1809x2906,high,true,OfsmPgN5lUDWsUtL2tZpsi,weathered-passage,Weathered Passage,Sanity main image pixels;listed artwork size,weathered-passage:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-5,80x120cm,6,true,,,1080x1920,high,true,OfsmPgN5lUDWsUtL2tZf92,blue-violet-texture,Blue Violet Texture,Sanity main image pixels;listed artwork size,blue-violet-texture:160;blue-crossing:60;candy-field:60;crimson-slipper-fragment:60;crimson-slipper-no-2:60,,,,
80-120-6,80x120cm,6,true,,,1282x2120,high,true,OfsmPgN5lUDWsUtL2tZfM0,light-rail-geometry,Light Rail Geometry,Sanity main image pixels;listed artwork size,light-rail-geometry:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-7,80x120cm,6,true,,,1977x2997,high,true,OfsmPgN5lUDWsUtL2tZoUG,crimson-slipper-fragment,Crimson Slipper Fragment,Sanity main image pixels;listed artwork size,crimson-slipper-fragment:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-no-2:60,,,,
80-120-8,80x120cm,6,true,,,1961x2969,high,true,OfsmPgN5lUDWsUtL2tZpSm,floating-glass-notes,Floating Glass Notes,Sanity main image pixels;listed artwork size,floating-glass-notes:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-9,80x120cm,6,true,,,1764x2771,high,true,OfsmPgN5lUDWsUtL2tZohE,crimson-slipper-no-2,Crimson Slipper No. 2,Sanity main image pixels;listed artwork size,crimson-slipper-no-2:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-10,80x120cm,6,true,,,1433x2289,high,true,XK7N94x9IeMzLuOXBWSeJm,red-figure-in-stone,Red Figure in Stone,Sanity main image pixels;listed artwork size,red-figure-in-stone:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-11,80x120cm,6,true,,,1969x2473,high,true,OfsmPgN5lUDWsUtL2tZpoO,blue-crossing,Blue Crossing,Sanity main image pixels;listed artwork size,blue-crossing:160;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60;crimson-slipper-no-2:60,,,,
80-120-12,80x120cm,6,true,,,2074x2545,high,true,OfsmPgN5lUDWsUtL2tZpbQ,paper-boat-garden,Paper Boat Garden,Sanity main image pixels;listed artwork size,paper-boat-garden:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-13,80x120cm,6,true,,,1890x2344,high,true,OfsmPgN5lUDWsUtL2tZpfk,ribbon-boat,Ribbon Boat,Sanity main image pixels;listed artwork size,ribbon-boat:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-14,80x120cm,6,true,,,1993x2433,high,true,OfsmPgN5lUDWsUtL2tZpk4,white-boat-on-grey,White Boat on Grey,Sanity main image pixels;listed artwork size,white-boat-on-grey:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-15,80x120cm,6,true,,,2145x2594,high,true,OfsmPgN5lUDWsUtL2tZouC,paper-boat-memory,Paper Boat Memory,Sanity main image pixels;listed artwork size,paper-boat-memory:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
80-120-16,80x120cm,6,true,,,1825x2298,high,true,OfsmPgN5lUDWsUtL2tZoyW,quiet-vase-and-birds,Quiet Vase and Birds,Sanity main image pixels;listed artwork size,quiet-vase-and-birds:160;blue-crossing:60;blue-violet-texture:60;candy-field:60;crimson-slipper-fragment:60,,,,
400-400-12,400x400cm,6,true,,,1284x1280,high,false,OfsmPgN5lUDWsUtL2tZqvY,pink-garden-rhythm,Pink Garden Rhythm,Sanity main image pixels,pink-garden-rhythm:100,,,,
